GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0070013	intracellular organelle lumen	2.12e-15	2.12e-15	1	C16C10.2,F10C2.4,F30A10.9,F44G4.1,K01G5.5,K07C5.4,W09C5.1,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y54G11A.9,Y75B8A.4,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,F56F11.4,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0044428	nuclear part	2.22e-17	2.22e-17	1	C16C10.2,F10C2.4,F30A10.9,F44G4.1,F53B7.3,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,W09C5.1,Y39A1A.14,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F27C1.6,F33D11.10,F55F8.3,F56F11.4,F57B10.8,H35B03.2,K12H4.3,M03F8.3,T07A9.8,T12A2.7,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
GO:0031981	nuclear lumen	5.11e-17	5.11e-17	1	C16C10.2,F10C2.4,F30A10.9,F44G4.1,K01G5.5,K07C5.4,W09C5.1,Y39A1A.14,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,F56F11.4,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0005681	spliceosomal complex	1.10e-03	1.10e-03	1	F53B7.3,K07C5.6,T11G6.8,T13H5.4,C50F2.3,F33D11.10,M03F8.3,T12A2.7,Y65B4A.6
GO:0071012	catalytic step 1 spliceosome	8.05e-03	8.05e-03	1	F53B7.3,T11G6.8,C50F2.3,M03F8.3,T12A2.7
GO:0071013	catalytic step 2 spliceosome	3.16e-04	3.16e-04	1	F53B7.3,T11G6.8,C50F2.3,F33D11.10,M03F8.3,T12A2.7,Y65B4A.6
GO:0005730	nucleolus	1.42e-18	1.42e-18	1	C16C10.2,F30A10.9,F44G4.1,K01G5.5,K07C5.4,W09C5.1,Y39A1A.14,Y39B6A.33,Y41C4A.9,Y45F10D.7,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0044452	nucleolar part	3.95e-11	3.95e-11	1	K01G5.5,K07C5.4,Y45F10D.7,Y48B6A.1,Y53C12B.1,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05D11.9,C48B6.2,F13H8.2,F55F8.3,H35B03.2,Y23H5B.5
GO:0034457	Mpp10 complex	2.14e-02	2.14e-02	1	Y75B8A.7,ZK795.3,C48B6.2
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	5.03e-04	5.03e-04	1	Y45F10D.7,Y53C12B.1,B0280.9,F13H8.2,F55F8.3
GO:0044444	cytoplasmic part	5.46e-05	5.46e-05	1	C04F12.8,C11H1.3,C25A1.5,C34C12.8,C36A4.4,C47D12.2,C55A6.10,F08A8.4,F11A3.2,F21D5.1,F25H2.4,F27D4.1,F45G2.8,F53F4.10,F54D5.7,F57F5.1,F59F4.1,H28O16.1,K08E3.5,T14D7.1,T23G11.7,T24B1.1,W01D2.1,W02A11.1,W02B12.10,Y18D10A.3,Y38F1A.6,Y39B6A.3,Y43F4B.5,Y48B6A.13,Y48G10A.3,Y54E5A.5,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y105E8A.3,ZC506.1,ZK836.2,ZK1098.4,B0303.3,C07H6.2,C17G10.9,C28F5.4,C34B2.6,C42C1.11,C53H9.2,D2063.1,E01A2.1,F08F8.7,F20D6.11,F25G6.8,F40A3.3,F48E3.8,F56F11.4,F58F9.7,F58F12.1,K09H11.1,M57.2,R05F9.6,R12C12.1,R151.10,T15B12.1,T20H4.5,W03F9.1,Y37E3.8,Y37E3.10,Y37E11B.5,Y53G8AL.2,Y97E10AL.3,ZC395.10,ZK370.4
GO:0016779	nucleotidyltransferase activity	1.88e-02	1.88e-02	1	F10C2.4,F43G6.5,K08E3.5,T15H9.6,Y47D3A.29
GO:0005488	binding	1.31e-05	1.31e-05	1	B0464.9,B0513.5,C11E4.6,C12D8.1,C15C6.4,C25A1.4,C25A1.5,D2013.6,F08A8.4,F10F2.2,F25H2.4,F27D4.1,F44G4.1,F45G2.10,F52B5.3,F54D5.7,F59F4.1,K07C5.4,R07E5.1,R07H5.8,R11A8.2,T01H8.2,T04H1.2,T11G6.8,T13H5.4,T21C9.4,T23G11.7,T24B1.1,W01D2.1,Y18D10A.9,Y39A1A.14,Y39B6A.3,Y41C4A.9,Y48A6B.3,Y48B6A.1,Y53C12B.1,Y54G11A.9,Y57G11C.22,Y59A8B.8,Y59A8B.10,Y75B8A.14,ZK795.3,ZK1098.4,B0286.3,C01B10.8,C07H6.2,C13F10.7,C16A3.10,C17G10.9,C18A3.3,C28F5.4,C34B2.6,C34E10.10,C37H5.5,C42C1.11,C48B6.2,C50F2.3,D2063.1,E01A2.1,F08F8.7,F13H8.2,F26B1.2,F27C1.6,F42H10.6,F55F8.3,F56F11.4,F57B10.8,F58F9.7,H35B03.2,K09H11.1,K12H4.3,R12C12.1,T04C9.1,T07A9.8,T22F3.3,T24G10.2,W03F9.10,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y51H7C.9,Y54E10A.10,ZK1127.5
GO:0043167	ion binding	2.98e-02	2.98e-02	1	B0513.5,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,T01H8.2,Y39B6A.3,Y54G11A.9,C16A3.10,C28F5.4,C42C1.11,F08F8.7,F58F9.7,K09H11.1,R12C12.1,T22F3.3,Y51H7C.9
GO:0043168	anion binding	3.98e-03	3.98e-03	1	B0513.5,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,T01H8.2,C16A3.10,F58F9.7,K09H11.1,R12C12.1,T22F3.3,Y51H7C.9
GO:0097159	organic cyclic compound binding	2.28e-12	2.28e-12	1	B0513.5,C15C6.4,F08A8.4,F10F2.2,F27D4.1,F44G4.1,F52B5.3,F54D5.7,F59F4.1,K07C5.4,T01H8.2,T04H1.2,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y48A6B.3,Y53C12B.1,ZK795.3,C16A3.10,C17G10.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F55F8.3,F57B10.8,F58F9.7,H35B03.2,K09H11.1,K12H4.3,T22F3.3,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y51H7C.9,Y54E10A.10,ZK1127.5
GO:0036094	small molecule binding	1.06e-04	1.06e-04	1	B0513.5,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1,R12C12.1
GO:1901363	heterocyclic compound binding	2.28e-12	2.28e-12	1	B0513.5,C15C6.4,F08A8.4,F10F2.2,F27D4.1,F44G4.1,F52B5.3,F54D5.7,F59F4.1,K07C5.4,T01H8.2,T04H1.2,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y48A6B.3,Y53C12B.1,ZK795.3,C16A3.10,C17G10.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F55F8.3,F57B10.8,F58F9.7,H35B03.2,K09H11.1,K12H4.3,T22F3.3,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y51H7C.9,Y54E10A.10,ZK1127.5
GO:1901265	nucleoside phosphate binding	4.91e-04	4.91e-04	1	B0513.5,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0000166	nucleotide binding	4.91e-04	4.91e-04	1	B0513.5,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0003676	nucleic acid binding	1.12e-08	1.12e-08	1	C15C6.4,F44G4.1,F52B5.3,K07C5.4,T04H1.2,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y48A6B.3,Y53C12B.1,ZK795.3,C17G10.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F55F8.3,F57B10.8,H35B03.2,K12H4.3,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y54E10A.10,ZK1127.5
GO:0003723	RNA binding	1.15e-10	1.15e-10	1	C15C6.4,F44G4.1,F52B5.3,K07C5.4,T04H1.2,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y48A6B.3,Y53C12B.1,ZK795.3,C17G10.9,C34E10.10,C48B6.2,F13H8.2,F55F8.3,F57B10.8,H35B03.2,K12H4.3,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y54E10A.10,ZK1127.5
GO:0030515	snoRNA binding	1.09e-05	1.09e-05	1	K07C5.4,Y41C4A.9,Y48A6B.3,Y53C12B.1,ZK795.3,C48B6.2,F13H8.2,F55F8.3,Y23H5B.5
GO:0019843	rRNA binding	4.67e-04	4.67e-04	1	F44G4.1,Y39A1A.14,Y41C4A.9,ZK795.3,C34E10.10,Y54E10A.10
GO:1901681	sulfur compound binding	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0048037	cofactor binding	1.39e-03	1.39e-03	1	B0513.5,F08A8.4,F27D4.1,F54D5.7,F59F4.1,T01H8.2,C16A3.10,F58F9.7,K09H11.1,T22F3.3,Y51H7C.9
GO:0050662	coenzyme binding	9.14e-04	9.14e-04	1	B0513.5,F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0000062	fatty-acyl-CoA binding	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0050660	flavin adenine dinucleotide binding	9.14e-04	9.14e-04	1	B0513.5,F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0016817	hydrolase activity, acting on acid anhydrides	9.21e-06	9.21e-06	1	C46F11.4,F52B5.3,K10C3.5,R05D11.4,T04H1.2,T26G10.1,Y48E1B.2,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,C53H9.2,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y39G10AR.8,Y65B4A.6,Y94H6A.5
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	9.21e-06	9.21e-06	1	C46F11.4,F52B5.3,K10C3.5,R05D11.4,T04H1.2,T26G10.1,Y48E1B.2,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,C53H9.2,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y39G10AR.8,Y65B4A.6,Y94H6A.5
GO:0016462	pyrophosphatase activity	9.21e-06	9.21e-06	1	C46F11.4,F52B5.3,K10C3.5,R05D11.4,T04H1.2,T26G10.1,Y48E1B.2,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,C53H9.2,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y39G10AR.8,Y65B4A.6,Y94H6A.5
GO:0017111	nucleoside-triphosphatase activity	9.21e-06	9.21e-06	1	C46F11.4,F52B5.3,K10C3.5,R05D11.4,T04H1.2,T26G10.1,Y48E1B.2,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,C53H9.2,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y39G10AR.8,Y65B4A.6,Y94H6A.5
GO:0004386	helicase activity	2.13e-06	2.13e-06	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0070035	purine NTP-dependent helicase activity	4.30e-07	4.30e-07	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0003724	RNA helicase activity	4.30e-07	4.30e-07	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0016887	ATPase activity	3.28e-06	3.28e-06	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0042623	ATPase activity, coupled	1.01e-06	1.01e-06	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,Y75B8A.4,ZK512.2,B0511.6,C24H12.4,C34B2.6,F33D11.10,F53H1.1,F55F8.2,F56F11.4,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0008186	RNA-dependent ATPase activity	4.30e-07	4.30e-07	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0008026	ATP-dependent helicase activity	4.30e-07	4.30e-07	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0004004	ATP-dependent RNA helicase activity	4.30e-07	4.30e-07	1	C46F11.4,F52B5.3,R05D11.4,T26G10.1,Y54G11A.3,ZK512.2,B0511.6,C24H12.4,F33D11.10,F53H1.1,F55F8.2,H20J04.4,Y23H5B.6,Y65B4A.6,Y94H6A.5
GO:0016491	oxidoreductase activity	8.37e-03	8.37e-03	1	B0513.5,C25A1.5,C31C9.2,F08A8.4,F27D4.1,F53F4.10,F54D5.7,F59F4.1,Y38F1A.6,ZK836.2,F58F9.7,H24K24.3,K09H11.1,R12C12.1,Y37E11B.5,Y53G8AL.2
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	2.14e-02	2.14e-02	1	C31C9.2,Y38F1A.6,H24K24.3
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	4.55e-03	4.55e-03	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1,Y37E11B.5
GO:0052890	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0003995	acyl-CoA dehydrogenase activity	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0009055	electron carrier activity	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0016853	isomerase activity	1.10e-03	1.10e-03	1	B0024.11,C01G10.9,F21D5.1,K01G5.5,T01H8.2,Y18D10A.3,Y43F4B.5,C14B9.2,C30H7.2,F08F8.7,R05F9.6,ZK973.11
GO:0016854	racemase and epimerase activity	2.14e-02	2.14e-02	1	T01H8.2,Y18D10A.3,F08F8.7
GO:0016866	intramolecular transferase activity	5.03e-04	5.03e-04	1	B0024.11,F21D5.1,K01G5.5,Y43F4B.5,R05F9.6
GO:0016868	intramolecular transferase activity, phosphotransferases	2.14e-02	2.14e-02	1	F21D5.1,Y43F4B.5,R05F9.6
GO:0042802	identical protein binding	4.16e-03	4.16e-03	1	T04H1.2,T21C9.4,T24B1.1,ZK1098.4,B0286.3,C13F10.7,C16A3.10,F42H10.6
GO:0003743	translation initiation factor activity	3.80e-02	3.80e-02	1	T04H1.2,C17G10.9,Y37E3.10,Y39G10AR.8
