human	elegans
Q86Y82	O62236
Q86Y97	Q09265
Q86YB8	Q7YTU4
Q86YP4	G5ED89
Q86YS3	Q95ZS6
Q86YS6	Q9U1W9
Q86YS7	O17398
Q86YT5	Q93655
Q86YT6	Q9U2C5
Q8IUA0	O16701
Q8IUE6	Q27485
Q8IUH5	H2KYE9
Q8IUK5	Q18500
Q8IUM7	G5EFL9
Q8IUQ4	Q965X6
Q8IUR0	Q9NA81
Q8IUS5	G5EBI4
Q8IV08	O17405
Q8IV36	G5EG65
Q8IV38	Q9N3Q8
Q8IV42	Q9XTU1
Q8IV50	O02055
Q8IV61	Q19770
Q8IVE3	G5ED24
Q8IVH4	Q22111
Q8IVH8	Q23290
Q8IVI9	Q18501
Q8IVJ1	O45182
Q8IVL1	Q7YSI9
Q8IVN8	O18003
Q8IVS2	Q8ITY6
Q8IVS8	Q09235
Q8IW45	P32740
Q8IW70	Q23387
Q8IWA0	A7DT40
Q8IWA5	Q20026
Q8IWB9	H2L080
Q8IWL3	Q21324
Q8IWR1	O16614
Q8IWT0	Q9TZN1
Q8IWU4	Q22541
Q8IWU6	Q21376
Q8IWV8	P91133
Q8IWW6	P46941
Q8IWW8	Q9U2M4
Q8IWX7	G5EG62
Q8IWX8	G5ED97
Q8IWZ6	Q9XW70
Q8IX12	G5EFJ2
Q8IXB1	Q9XWE1
Q8IXI2	Q94263
Q8IXL6	Q9XTW2
Q8IXQ4	Q93591
Q8IXQ9	O01503
Q8IY18	Q18237
Q8IY21	Q09475
Q8IY31	Q8TA52
Q8IY37	P34305
Q8IY50	Q95XC7
Q8IY81	Q9N5N9
Q8IY84	O17879
Q8IYB3	O62185
Q8IYB5	O18181
Q8IYB7	Q09568
Q8IYB8	Q17828
Q8IYD1	O45622
Q8IYI6	Q95Q35
Q8IYK4	Q18989
Q8IYL2	Q45EK7
Q8IYS0	H2L0J6
Q8IYS2	O45086
Q8IYT8	Q23023
Q8IYX7	Q94012
Q8IZ07	Q18099
Q8IZ41	Q22908
Q8IZ52	P45895
Q8IZ69	Q9N5L0
Q8IZ73	O16686
Q8IZC4	Q17777
Q8IZD2	Q9U263
Q8IZF0	G5EDM1
Q8IZJ1	Q26261
Q8IZJ6	Q22945
Q8IZN3	Q9XWD7
Q8IZP9	Q19930
Q8IZQ1	H2FLM3
Q8IZS8	P34374
Q8IZU9	B1Q236
Q8N0W3	Q18214
Q8N0W4	Q9XTG1
Q8N0X4	Q93167
Q8N0X7	O44735
Q8N0Z6	Q9BKU9
Q8N0Z8	Q95XD5
Q8N108	P91437
Q8N122	G5EEV7
Q8N1A6	Q18357
Q8N1B3	O17869
Q8N1B4	G5EFV8
Q8N1F7	Q9BKT9
Q8N1G4	Q9N3F2
Q8N1M1	O17206
Q8N1S5	P91354
Q8N2C7	Q9XV66
Q8N2H3	O61196
Q8N2H4	Q8I7G0
Q8N2K0	Q965S2
Q8N2K1	Q86S73
Q8N2M8	Q19854
Q8N2R8	Q20652
Q8N2U0	Q9U2Z9
Q8N2U9	G5EE99
Q8N302	Q95Q15
Q8N336	Q09292
Q8N357	Q18315
Q8N371	Q17765
Q8N394	O16296
Q8N3C0	Q9XWI1
Q8N3E9	Q21754
Q8N3I7	Q21626
Q8N3P4	A3QMB3
Q8N3R3	Q7JPI4
Q8N3R9	Q17549
Q8N3U4	Q19555
Q8N3X6	G5EGQ5
Q8N3Y7	Q22392
Q8N413	Q21800
Q8N441	Q95XJ7
Q8N442	P34617
Q8N465	G5EE46
Q8N488	Q18861
Q8N4F4	Q22189
Q8N4J0	O62483
Q8N4P2	Q8I7G4
Q8N4Q1	Q9N4N2
Q8N4V1	E1B6R8
Q8N4V2	P30638
Q8N511	Q19259
Q8N543	Q09973
Q8N5A5	Q18418
Q8N5C6	Q9N4L5
Q8N5C7	B7WNB4
Q8N5D0	Q4W5Q8
Q8N5F7	Q966L6
Q8N5G2	P91193
Q8N5I3	Q7YWU7
Q8N5L8	Q7YWL9
Q8N5M1	Q9U2U3
Q8N5M9	Q9XUU9
Q8N5S9	Q3Y416
Q8N608	Q7JKY3
Q8N6M0	F5GU86
Q8N6M3	Q5CZ37
Q8N6M9	Q9XUW8
Q8N6N6	G5EE42
Q8N6R0	Q17539
Q8N6R1	Q93838
Q8N6S4	Q17555
Q8N6T3	P90904
Q8N6T7	Q95Q89
Q8N766	H2L0C0
Q8N7B1	G5EBG0
Q8N7H5	P90783
Q8N806	Q22662
Q8N815	Q9BL45
Q8N8A6	P34668
Q8N8N7	Q0G840
Q8N8Q8	Q9N356
Q8N8Q9	G4S7C7
Q8N8R3	Q8I4M0
Q8N8S7	G5EG53
Q8N954	Q22178
Q8N983	O02220
Q8N9A8	Q9XXN3
Q8N9H8	P34607
Q8N9L9	O45003
Q8N9M1	O62258
Q8N9N2	A9Z1L6
Q8N9N8	Q23646
Q8N9Q2	O01489
Q8N9T8	Q20760
Q8NA23	O44856
Q8NAG6	G5EGA3
Q8NAM6	Q966L8
Q8NAV1	Q18942
Q8NB25	Q11102
Q8NB78	Q21988
Q8NBF6	Q22794
Q8NBH2	G5EF51
Q8NBJ9	Q9GYF0
Q8NBN3	Q22938
Q8NBQ7	Q7JL16
Q8NBR6	Q9N370
Q8NBS3	G5EBE4
Q8NBT3	Q18000
Q8NBU5	P54815
Q8NBW4	Q19425
Q8NBX0	Q9GZE9
Q8NBZ7	G5EF65
Q8NC56	Q9XTB5
Q8NC60	O18196
Q8NC67	O61849
Q8NC69	Q9TZA6
Q8NCA5	Q18407
Q8NCC3	Q21515
Q8NCC5	Q22409
Q8NCG7	H2KY93
Q8NCM2	O44164
Q8NCM8	Q19542
Q8NCN5	Q9U300
Q8NCW5	Q9XW15
Q8NCW6	Q7K755
Q8ND04	O62301
Q8ND76	P34624
Q8NDA8	K8ERU3
Q8NDH3	P34629
Q8NDI1	G5ECW3
Q8NDT2	H2KYB8
Q8NDZ6	Q9U1P9
Q8NE00	Q17598
Q8NE62	Q18429
Q8NE71	Q19554
Q8NE86	Q21121
Q8NEB9	Q9TXI7
Q8NEG7	O45074
Q8NEJ9	Q8IG68
Q8NEL9	G5EEM9
Q8NEM0	Q9XUM4
Q8NEN9	Q18798
Q8NER5	P20792
Q8NEX9	O16881
Q8NEZ3	G5ECZ4
Q8NEZ4	G5EGI1
Q8NF64	Q21970
Q8NF86	Q23528
Q8NF91	Q9N4M4
Q8NFA0	Q8WT44
Q8NFB2	Q9U2T2
Q8NFF5	Q22017
Q8NFG4	H2KY80
Q8NFH8	Q8MYM6
Q8NFJ9	Q9NEZ7
Q8NFP9	Q19317
Q8NFU1	P34672
Q8NFU5	O62519
Q8NFV4	O45707
Q8NGA1	O45601
Q8NGJ9	Q17553
Q8NH16	Q18768
Q8NHG8	Q9N4I6
Q8NHH9	Q9BMU4
Q8NHP6	Q10956
Q8NHP8	Q9XWV2
Q8NHQ8	Q9GYN5
Q8NHQ9	P34640
Q8NHS3	O62511
Q8NI08	H2L003
Q8NI22	Q20796
Q8NI27	Q18033
Q8NI35	G5ECZ8
Q8NI36	O62477
Q8NI37	O18183
Q8NI60	Q18486
Q8TAA9	H2KY90
Q8TAC2	Q8IAA2
Q8TAD4	Q8WQB6
Q8TAD8	P91125
Q8TAF3	Q20059
Q8TAM2	Q23049
Q8TAT6	Q95QZ9
Q8TAU0	Q18533
Q8TAX0	Q9N5X6
Q8TB22	Q09214
Q8TB40	H2KZ86
Q8TB73	Q9N397
Q8TB96	P30639
Q8TBA6	P90970
Q8TBC4	Q19360
Q8TBE9	O17773
Q8TBG4	P91408
Q8TBH0	Q9XXI4
Q8TBN0	Q20759
Q8TBP0	Q20600
Q8TBP6	Q09461
Q8TBZ3	D9N129
Q8TBZ6	Q19789
Q8TC20	Q22257
Q8TCA0	Q21347
Q8TCB7	Q23383
Q8TCG2	Q23083
Q8TCJ2	P46975
Q8TCN5	Q9XYD3
Q8TCS8	Q965N3
Q8TCT0	Q9TZI1
Q8TCT7	Q564X0
Q8TCT9	P49049
Q8TCX1	Q19119
Q8TD08	Q11179
Q8TD22	Q5FC79
Q8TDC3	Q19469
Q8TDD1	Q688Z4
Q8TDD5	Q8T666
Q8TDG4	H2KY86
Q8TDN6	P34524
Q8TDR0	Q17595
Q8TDX5	Q8T8B9
Q8TDX7	G5EFM9
Q8TDY2	Q22342
Q8TE04	H2KYP7
Q8TE68	G5ED33
Q8TE99	Q95PW2
Q8TEA7	Q18386
Q8TEA8	Q9XUP4
Q8TEB1	P90794
Q8TED0	Q9N477
Q8TEH3	G5ECW9
Q8TEK3	Q6AW06
Q8TEM1	P91495
Q8TEQ8	O01966
Q8TEU7	G5EDB9
Q8TEW0	Q17353
Q8TEY7	Q93875
Q8TF01	Q9U252
Q8TF05	G5ECH5
Q8TF40	H2L0I8
Q8TF66	Q93377
Q8WTR2	Q95XK5
Q8WTT2	P91136
Q8WTU0	Q17569
Q8WTW3	G5EE66
Q8WTW4	Q20633
Q8WU10	Q18213
Q8WU67	Q9U1Z6
Q8WU90	Q93618
Q8WUA2	G5EEW6
Q8WUB8	Q2A950
Q8WUD4	Q95XJ1
Q8WUF8	Q9XW78
Q8WUJ1	Q9XXA7
Q8WUK0	I2HA91
Q8WUM4	P34552
Q8WUM9	Q17455
Q8WUQ7	G5EG14
Q8WUR7	Q09EE9
Q8WUS8	Q9XWF0
Q8WUX9	Q22718
Q8WV41	Q9XXG2
Q8WV74	Q23236
Q8WV83	O02057
Q8WV92	Q95Q05
Q8WV93	Q95YE1
Q8WVB3	G5EFL1
Q8WVB6	Q21350
Q8WVC0	Q17431
Q8WVC6	P34558
Q8WVD5	Q20737
Q8WVE0	Q5WRN3
Q8WVF1	O01911
Q8WVJ9	Q10574
Q8WVK2	Q21739
Q8WVL7	Q95QI6
Q8WVM0	P91424
Q8WVM8	Q20364
Q8WVP7	P34535
Q8WVQ1	Q19202
Q8WVS4	Q18263
Q8WVX9	Q9TZL9
Q8WW35	Q18917
Q8WW43	O45876
Q8WWI1	Q8MNT0
Q8WWM7	D4PH96
Q8WWM9	O17824
Q8WWN8	H2KZV4
Q8WWV3	Q4W4Z2
Q8WWY3	Q9N592
Q8WX93	A7DT48
Q8WXA9	O01159
Q8WXG6	O02626
Q8WXH2	Q22667
Q8WXI2	G5EEW9
Q8WXX5	Q22751
Q8WY98	Q4TT81
Q8WYA0	A8DYR7
Q8WYA6	P91401
Q8WYB5	K8ERR8
Q8WYK1	Q19617
Q8WYN0	K8ESC5
Q8WYN3	B3KLZ9
Q8WYP3	G5ECF0
Q8WYP5	Q18508
Q8WYQ3	Q09254
Q8WYQ5	O01264
Q8WZ42	G4SLH0
Q8WZ79	P34508
Q8WZ82	Q18169
Q8WZA0	Q7JPD8
Q8WZA2	P34578
Q92482	Q17571
Q92485	Q23640
Q92499	Q9N341
Q92503	Q03606
Q92504	Q9XTQ7
Q92506	Q9XX28
Q92521	G5EDN2
Q92535	O01259
Q92538	G5EGS5
Q92539	Q9XXT5
Q92541	G5EBY0
Q92542	Q23316
Q92544	B3WFW5
Q92545	Q18264
Q92546	Q7YWW8
Q92547	Q20129
Q92551	Q93644
Q92562	P90770
Q92575	P34631
Q92599	Q8I4C9
Q92600	Q18224
Q92604	Q95R03
Q92609	Q17491
Q92611	Q18679
Q92613	Q9N3F6
Q92615	O44760
Q92616	B3CJ34
Q92620	P34498
Q92621	Q21436
Q92626	Q1ENI8
Q92630	Q9XTF3
Q92643	P49048
Q92685	E5QCI3
Q92688	O62220
Q92696	Q9TYY0
Q92698	G5EEN6
Q92734	Q9U1W1
Q92736	I2HAA6
Q92747	Q9U1R7
Q92750	O61707
Q92759	K8F7X5
Q92777	Q8MXU3
Q92783	O01498
Q92785	Q09477
Q92797	O16929
Q92823	Q53U87
Q92831	Q9N3S7
Q92841	Q9XUW5
Q92845	H2KZP1
Q92870	Q9BKZ9
Q92878	O44199
Q92879	A8DYS0
Q92882	Q9U2Z5
Q92889	G5EBZ1
Q92890	Q19584
Q92896	Q19459
Q92900	O76512
Q92903	P53439
Q92905	P91001
Q92917	Q21924
Q92922	H8ESF3
Q92930	G5EFC1
Q92945	Q17936
Q92947	Q20772
Q92959	Q93550
Q92966	Q965U6
Q92968	Q19951
Q92973	O62332
Q92979	Q9XX15
Q92993	Q9TYU5
Q92994	Q20429
Q92997	Q18239
Q93009	Q7JKC3
Q93015	Q09518
Q93034	Q23639
Q93050	P30628
Q93074	Q20497
Q93096	G5EG43
Q93099	Q9Y041
Q93100	H2L0I6
Q969E8	Q2HQJ8
Q969G3	Q9BL39
Q969G6	Q21918
Q969H0	Q93794
Q969H6	G5EF59
Q969I6	Q8WTK1
Q969J3	O01902
Q969M3	Q7YTG8
Q969M7	Q9XVK5
Q969N2	Q19518
Q969P5	O45323
Q969Q0	P48166
Q969R5	B2D6M2
Q969S0	O44166
Q969S3	Q18037
Q969S6	H2L0K6
Q969S8	Q8I4I9
Q969S9	Q95Y73
Q969T9	Q18075
Q969V3	A5JYX8
Q969V4	Q21641
Q969W1	Q18585
Q969X5	Q95XJ9
Q969Y2	Q9XTZ1
Q96A29	Q968A5
Q96A33	Q23382
Q96A35	P91353
Q96A44	Q965N7
Q96A47	G5EC36
Q96A49	O17591
Q96A65	Q9XWS2
Q96A72	P49029
Q96AA3	Q23444
Q96AB3	Q20062
Q96AC1	Q18685
Q96AD5	Q11186
Q96AE7	Q22554
Q96AG3	Q9U2J0
Q96AH0	Q17749
Q96AJ1	Q6I6D4
Q96AJ9	O18230
Q96AT1	Q22790
Q96AT9	Q95ZW2
Q96AX2	G5EFA6
Q96B02	Q9XWF6
Q96B67	D1MN74
Q96B97	Q6A573
Q96BD0	Q9XWC5
Q96BD8	Q9XWS0
Q96BI1	Q18797
Q96BK5	Q22705
Q96BP2	O44133
Q96BP3	Q9U1Q3
Q96BR5	Q23450
Q96BT7	Q9U3P9
Q96BW1	Q9U3L5
Q96BW9	Q9N4G7
Q96BY7	Q21480
Q96BY9	Q22254
Q96BZ8	Q9BL93
Q96BZ9	Q9XWI2
Q96C01	P30629
Q96C23	G5ECR6
Q96C34	Q22585
Q96C86	G5EFS4
Q96CB9	Q95XR2
Q96CC6	H2KML1
Q96CD2	P91988
Q96CJ1	Q9TXQ9
Q96CM3	Q23459
Q96CM8	Q9UAV8
Q96CP7	H2L0G2
Q96CQ1	G5EEG6
Q96CT7	Q9GUM1
Q96CU9	Q21504
Q96CW1	P35603
Q96CX6	Q9N4Z5
Q96D46	Q22792
Q96D70	Q9U2F1
Q96DA2	Q18969
Q96DB2	Q18477
Q96DB5	O62216
Q96DC8	D1MN80
Q96DF8	P34420
Q96DH6	G5EFS2
Q96DI7	Q19211
Q96DM3	Q95Y58
Q96DR4	Q21130
Q96DR7	Q965J0
Q96DV4	Q9BL86
Q96DX4	P90839
Q96DZ1	Q9NF22
Q96E11	P91478
Q96E17	Q94986
Q96E22	Q20118
Q96E29	Q18746
Q96EB1	Q18195
Q96EB6	Q21921
Q96EC8	C6KRN3
Q96EE3	O45933
Q96EK6	Q17427
Q96EK9	Q7YTI4
Q96EL2	Q688C0
Q96EL3	Q7YX52
Q96EN8	Q21657
Q96ER9	H2KZ70
Q96ES7	Q9N576
Q96EU6	Q8MNX1
Q96EX2	Q7JNM2
Q96EY1	Q8TA83
Q96EY7	Q9N584
Q96EY8	Q18218
Q96EY9	Q9NAH8
Q96EZ8	G5ED60
Q96F10	O17731
Q96F25	Q94284
Q96F44	Q9U5C1
Q96F45	G5EGF8
Q96F63	Q9U385
Q96F81	G5EEW0
Q96F85	O16206
Q96FA3	Q22967
Q96FB5	Q93574
Q96FC7	O17963
Q96FH0	O45685
Q96FJ2	Q22799
Q96FM1	O61975
Q96FS4	H2L2C2
Q96FV9	Q9N5E3
Q96FW1	Q9XVR6
Q96FX2	Q21102
Q96FX7	G5EGR8
Q96FZ7	Q9BL60
Q96G01	Q94174
Q96G03	O45934
Q96G04	P30643
Q96G21	O62518
Q96G23	G5ED45
Q96G25	Q9U1W2
Q96G46	Q9TYN2
Q96G97	Q8MXG1
Q96GA3	O02327
Q96GC5	O44159
Q96GC9	Q9XWU8
Q96GF1	Q09463
Q96GG9	Q9U3C8
Q96GM8	Q9NA76
Q96GW9	B3KYC0
Q96GX9	Q23261
Q96GY0	Q22122
Q96H20	Q18258
Q96H78	G5EDJ9
Q96H96	Q8I7J4
Q96HA8	Q21775
Q96HA9	O62103
Q96HD1	Q19267
Q96HJ9	Q8MNU8
Q96HM7	P90793
Q96HS1	Q09422
Q96HU1	Q94222
Q96HV5	Q22316
Q96HW7	O18167
Q96HY6	P34623
Q96HY7	Q23629
Q96I15	Q19434
Q96I25	Q20966
Q96I34	Q95ZS1
Q96I51	G5EEZ1
Q96I59	Q95PZ8
Q96I76	H2KZK6
Q96I99	P53589
Q96IG2	P34284
Q96II8	Q17989
Q96IJ6	Q9N4V3
Q96IK5	Q9U1W5
Q96IL0	Q8MYM9
Q96IR2	Q9BL20
Q96IU4	Q9N366
Q96IV0	Q9TW67
Q96IV6	Q20611
Q96IZ2	Q93355
Q96J01	P91867
Q96J94	P90786
Q96JB2	Q6AW08
Q96JB5	Q9U2Y2
Q96JC1	Q1ZXS5
Q96JG6	Q18602
Q96JJ3	Q8STE5
Q96JJ7	Q9N4L6
Q96JP0	P17221
Q96JQ0	Q5F4W0
Q96K17	Q18885
Q96K19	Q9XWM0
Q96K21	Q21938
Q96K76	Q22240
Q96K80	Q9N3F7
Q96KA5	Q95QB1
Q96KC2	P34212
Q96KC8	P34454
Q96KG9	Q23215
Q96KP1	Q22706
Q96KP4	Q9BL46
Q96KR1	E9RKC7
Q96KR4	O62446
Q96L58	Q9N491
Q96L91	Q9NEL2
Q96L92	Q93566
Q96LB3	Q18106
Q96LD1	Q19185
Q96LD8	Q86FN3
Q96LI5	B3GWC3
Q96LJ7	Q9N538
Q96LT4	Q20696
Q96LT7	Q95QK5
Q96LU5	Q9XVD2
Q96LU7	G5EFI7
Q96LZ7	Q966G0
Q96M11	Q95X94
Q96M27	Q17636
Q96M98	Q19060
Q96MC6	Q965I9
Q96MH6	H2KZW7
Q96MI9	O76373
Q96MR6	G5ECP7
Q96MT1	Q95Y82
Q96MW5	O44502
Q96MY7	Q9XX47
Q96N66	Q19468
Q96N67	Q20487
Q96N76	Q9NAE2
Q96NB3	Q22139
Q96NC0	P34670
Q96NN9	Q19655
Q96NR3	Q9XXR9
Q96NR8	Q9XVS9
Q96NT5	Q9UAZ6
Q96NU7	Q22419
Q96NY7	Q564Q6
Q96P11	Q9NAA7
Q96P47	Q9XX14
Q96P53	Q18964
Q96PD6	O01881
Q96PE3	Q21623
Q96PE7	G5EEG4
Q96PF2	O61821
Q96PN7	Q20733
Q96PR1	G5EFC3
Q96PU5	Q9BKW4
Q96PU8	D4YW53
Q96PV0	Q8MLZ5
Q96PV6	H2KZ29
Q96PX1	Q17911
Q96PY5	Q9BL72
Q96PZ0	Q17426
Q96Q05	Q93330
Q96Q06	H2FLL1
Q96Q07	O16313
Q96Q11	Q93795
Q96Q15	O01510
Q96QE2	Q21455
Q96QF7	Q23462
Q96QG7	Q965W9
Q96QK1	Q21053
Q96QK8	Q09269
Q96QU1	Q19194
Q96QZ7	C1P633
Q96RK4	Q5CZ52
Q96RL7	Q94010
Q96RN5	Q21955
Q96RP9	Q9XV52
Q96RQ3	O45430
Q96RR1	Q5WRT0
Q96RS6	A6PVA1
Q96RU3	Q19253
Q96RV3	G4RT15
Q96RW7	G5EDG4
Q96RY7	P90757
Q96S16	Q95QU1
Q96S19	Q7YWR7
Q96S38	Q20821
Q96S44	B5WWL2
Q96S52	Q22496
Q96SB4	Q03563
Q96SB8	Q93250
Q96ST2	Q19375
Q96SU4	O01686
Q96SW2	Q21558
Q96SZ5	Q8IAA1
Q96SZ6	Q09316
Q96T51	Q19088
Q96T52	Q9N371
Q96T58	G5EGK6
Q96T60	Q19683
Q96T66	P91851
Q96T68	Q95Y12
Q96T76	O76384
Q96T83	G5ED88
Q96TA2	P54813
Q99259	G5EDB7
Q99426	Q20728
Q99436	O62102
Q99437	G5EDB8
Q99442	Q18093
Q99447	A9D2X7
Q99459	G5EFC4
Q99460	Q18115
Q99470	O61793
Q99471	Q21993
Q99487	Q22943
Q99489	Q95XG9
Q99497	P90994
Q99504	O17670
Q99538	G5EBF4
Q99543	Q94216
Q99570	Q23669
Q99574	O17365
Q99575	Q11188
Q99576	Q22544
Q99594	Q19849
Q99613	O02328
Q99614	O44951
Q99623	P50093
Q99633	O45431
Q99638	Q95Q27
Q99640	Q20085
Q99643	P41956
Q99653	Q23643
Q99675	O44624
Q99697	P52906
Q99707	Q09582
Q99714	Q19102
Q99720	O02109
Q99728	Q21209
Q99732	Q7YX40
Q99741	P91155
Q99742	P90953
Q99747	Q9NEQ8
Q99755	O01759
Q99757	Q17424
Q99758	Q9TXV8
Q99766	O16314
Q99797	Q95PY9
Q99798	P34455
Q99801	Q19937
Q99805	O17388
Q99807	P48376
Q99808	G5EDJ3
Q99811	L8E946
Q99816	O76258
Q99832	Q9TZS5
Q99848	Q09958
Q99873	Q9U2X0
Q99880	Q27484
Q99929	Q22717
Q99933	O44739
Q99941	Q20435
Q99943	Q22267
Q99952	Q95Y26
Q99961	B1V8A0
Q99986	Q19848
Q9BPU9	Q9N423
Q9BPX1	Q18946
Q9BPX6	Q95PZ2
Q9BPX7	Q19987
Q9BQ52	O44476
Q9BQ67	Q9N393
Q9BQ69	Q17432
Q9BQ70	P90919
Q9BQ83	P91351
Q9BQ90	G5EEG5
Q9BQ95	Q9N580
Q9BQA5	O45494
Q9BQC3	Q09454
Q9BQD3	O01488
Q9BQE9	Q09242
Q9BQJ4	G5ED30
Q9BQP7	A9QY30
Q9BQT8	O62347
Q9BR61	Q9XVJ0
Q9BRA0	Q9BL76
Q9BRA2	Q9BL27
Q9BRD0	P30640
Q9BRG1	Q9U354
Q9BRJ2	Q95Y71
Q9BRK0	Q10010
Q9BRK5	Q18887
Q9BRN9	Q95QZ5
Q9BRP0	G5EDU6
Q9BRP4	Q95XR3
Q9BRQ5	Q09232
Q9BRR3	Q20021
Q9BRR6	Q86S40
Q9BRR8	Q21827
Q9BRS2	O44959
Q9BRT6	Q9GYQ6
Q9BRT9	Q9U2W9
Q9BRU9	Q95QS4
Q9BRV3	O45102
Q9BRX2	P50444
Q9BRX5	Q9BL54
Q9BRX8	Q22020
Q9BRX9	Q19986
Q9BS26	Q304D5
Q9BSB4	Q95XH2
Q9BSC4	Q19974
Q9BSE4	Q93559
Q9BSF4	Q8WQD7
Q9BSF8	Q21747
Q9BSG0	Q22322
Q9BSH4	Q965T4
Q9BSH5	Q9BI82
Q9BSR8	A5PEX8
Q9BSU1	P34692
Q9BSY9	H2KZK4
Q9BT09	G5EDB0
Q9BT17	G4SNS6
Q9BT22	Q22797
Q9BT30	Q7YWP5
Q9BT40	G5EGN9
Q9BT78	Q9N359
Q9BTE0	Q9BKR0
Q9BTE1	Q9N4I1
Q9BTM9	B3CKG1
Q9BTT4	P45966
Q9BTW9	Q19493
Q9BTX1	Q8I4N3
Q9BTX3	Q21737
Q9BTY2	P49713
Q9BTZ2	O16619
Q9BU23	Q2L6Y0
Q9BU89	Q17949
Q9BUB5	Q8I113
Q9BUE0	Q966M5
Q9BUE6	A5HWB2
Q9BUI4	Q8IG67
Q9BUJ2	B9WRU1
Q9BUL8	Q17958
Q9BUN8	Q93561
Q9BUP3	Q5DX36
Q9BUQ8	Q95QN2
Q9BUR4	Q8WQB4
Q9BUV8	O16254
Q9BUX1	Q9GZE8
Q9BUZ4	G5EG80
Q9BV10	Q23361
Q9BV19	Q09227
Q9BV20	Q93169
Q9BV38	Q22006
Q9BV40	Q95QZ1
Q9BV44	Q21503
Q9BV57	Q20340
Q9BV68	Q9N3D1
Q9BV79	O45903
Q9BV81	Q7KPW6
Q9BV86	Q9N4D9
Q9BV87	O17407
Q9BV94	P90830
Q9BVA6	Q23544
Q9BVC3	O44992
Q9BVC4	P91040
Q9BVG4	Q9XWK2
Q9BVG8	P91400
Q9BVI4	P41843
Q9BVK2	P52887
Q9BVK6	Q9U1Z4
Q9BVK8	Q23483
Q9BVM4	Q65ZK1
Q9BVS4	Q95Q34
Q9BVV7	Q9TXR7
Q9BVW5	Q9TXI0
Q9BW19	P45962
Q9BW27	Q22078
Q9BW62	P34808
Q9BW85	Q20124
Q9BW91	Q09297
Q9BWF2	P90990
Q9BWH2	Q22252
Q9BWH6	H2L086
Q9BWP8	Q17450
Q9BWQ8	Q8MQ55
Q9BWS9	Q18607
Q9BWU0	P34648
Q9BWU1	P90866
Q9BWW4	B7FAS6
Q9BX10	Q22174
Q9BX40	Q9XW17
Q9BX46	O45189
Q9BX63	O62217
Q9BX70	Q20183
Q9BX73	P61228
Q9BX74	Q95PJ8
Q9BXC9	Q19640
Q9BXI6	O44873
Q9BXJ9	Q8WTL6
Q9BXM7	Q09298
Q9BXP2	O44846
Q9BXP5	Q966L5
Q9BXR0	Q23623
Q9BXS5	P35602
Q9BXS9	O17951
Q9BXW7	Q9TYQ4
Q9BXW9	Q9U2H4
Q9BXY0	Q18035
Q9BY12	G5EGE8
Q9BY32	Q9GYG4
Q9BY42	O02209
Q9BY44	Q19052
Q9BY76	Q18914
Q9BYB0	B7WN72
Q9BYC5	G5EFE7
Q9BYC8	Q04907
Q9BYD1	Q95QL2
Q9BYD2	Q95X39
Q9BYD3	O17005
Q9BYD6	Q7KPW7
Q9BYF1	Q18581
Q9BYG3	Q22135
Q9BYG4	Q9NAN2
Q9BYI3	Q6A586
Q9BYP7	H2L282
Q9BYT1	O45678
Q9BYV1	O02158
Q9BZ29	G5EBE8
Q9BZ67	O02254
Q9BZ72	G5EED9
Q9BZE1	O18199
Q9BZE2	Q09524
Q9BZE3	Q22910
Q9BZE4	O44411
Q9BZE9	Q17425
Q9BZF1	Q8MPR9
Q9BZG8	P49958
Q9BZH6	H2KZ40
Q9BZI7	Q8WQF3
Q9BZJ0	A9D4S6
Q9BZL1	P91302
Q9BZQ6	Q09641
Q9BZV1	Q8WTJ4
Q9BZX2	Q17413
Q9C026	Q9UAQ3
Q9C040	Q03601
Q9C0B0	L8E6Y3
Q9C0B7	Q22528
Q9C0D3	P21541
Q9C0D7	Q95YE2
Q9C0D9	O44732
Q9C0E2	Q95XI7
Q9C0E8	Q17667
Q9C0H2	Q20332
Q9C0H9	H2L0S5
Q9GZL7	P91343
Q9GZM5	O18212
Q9GZM7	P90850
Q9GZN1	Q09443
Q9GZN7	O17213
Q9GZP4	Q95ZI6
Q9GZP9	Q21997
Q9GZQ4	Q18701
Q9GZR7	P91340
Q9GZT3	Q18724
Q9GZT4	Q93968
Q9GZU7	Q8T3G2
Q9GZU8	O17594
Q9GZV3	O02228
Q9GZY4	D6RYE0
Q9GZZ1	Q20220
Q9GZZ9	P91430
Q9H000	Q9N373
Q9H008	O01926
Q9H040	Q22557
Q9H063	Q9TZN2
Q9H082	Q20365
Q9H0A0	O01757
Q9H0A8	O01659
Q9H0C8	G5EDI3
Q9H0E2	Q93565
Q9H0F7	Q18510
Q9H0G5	Q09252
Q9H0H0	E5QCH1
Q9H0H5	Q9XUS9
Q9H0L4	O45577
Q9H0Q0	Q09387
Q9H0R3	Q9N5M3
Q9H0R4	O01581
Q9H0R6	Q95Y25
Q9H0R8	Q09490
Q9H0S4	P34580
Q9H0U6	P34378
Q9H0W9	Q3Y402
Q9H0Y0	Q18991
Q9H147	Q03615
Q9H165	A9D4E4
Q9H1A3	Q22123
Q9H1D9	P91529
Q9H1H9	Q8MQ20
Q9H1J7	P34889
Q9H1K0	Q9N3Y4
Q9H1K1	O45948
Q9H1P3	Q93485
Q9H1U9	O01256
Q9H1X3	Q17433
Q9H1Y0	Q3V5I7
Q9H211	Q86S68
