UniProt Acc	Sequence Name (Gene)
C9IY21	ZK1058.9
C9IY22	ZK1058.9
Q23388	ZK1067.2
Q23389	ZK1067.3
Q23387	ZK1067.4
Q8MPS0	ZK1067.8
O02485	ZK1073.1
Q23393	ZK1073.2
Q23395	ZK1086.1
Q8MPR9	ZK1086.1
Q23396	ZK1086.2
Q23394	ZK1086.3
P34600	ZK1098.1
P34601	ZK1098.2
P34603	ZK1098.3
P34604	ZK1098.4
P34605	ZK1098.5
P34606	ZK1098.6
P34748	ZK1098.7
P34608	ZK1098.9
Q7YSP8	ZK1098.11
Q09644	ZK1128.1
Q09357	ZK1128.2
Q09357	ZK1128.2
Q09358	ZK1128.3
Q09645	ZK1128.4
Q09647	ZK1128.6
Q5FC81	ZK1128.6
Q09648	ZK1128.7
Q9XVX5	ZK1128.8
Q86D99	ZK1128.8
Q9XXL4	ZK1225.1
Q9XXL2	ZK1225.2
Q9XXL5	ZK1225.4
Q9XXL1	ZK1225.5
Q23429	ZK1251.1
Q23431	ZK1251.3
Q23434	ZK1251.7
Q21106	ZK1251.9
Q09359	ZK1307.1
Q7JMM1	ZK1307.1
Q09360	ZK1307.2
Q09361	ZK1307.3
Q09362	ZK1307.4
Q09650	ZK1307.7
Q23440	ZK1307.8
Q09651	ZK1307.9
Q09652	ZK1320.1
Q09364	ZK1320.2
Q09365	ZK1320.3
Q09653	ZK1320.4
Q09366	ZK1320.5
Q09655	ZK1320.7
Q09657	ZK1320.9
Q8WQ98	ZK1320.11
D2YW03	ZK1320.11
Q09368	ZK1321.1
Q09658	ZK1321.2
Q8I4B1	ZK1321.2
Q8I4B0	ZK1321.2
Q8I4A9	ZK1321.2
Q6BEV2	ZK1321.2
Q14V33	ZK1321.2
Q9XTP9	ZK1321.4
D3KFS0	ZK1321.4
Q2L6U6	D2023.1
C9IY24	D2023.1
D1MN77	D2023.1
D1MN82	D2023.1
C9E372	Y39G8C.3
D3NQA5	Y39G8C.3
Q6A4V9	C05D12.3
Q2PJ78	C05D12.3
A5JYR1	C06C3.9
Q6BEU0	C06G8.3
A7LPH3	C06G8.3
Q5WRM5	C18D4.5
Q1HB05	C36A4.3
D3YT89	C37A5.3
D5MCV5	H40L08.2
D5MCV4	H40L08.2
D9N126	K08E5.1
A5Z2W3	R13H4.2
D3YT84	T09F5.12
A0PD34	VM106R.1
Q564Q0	Y18D10A.22
A5HW97	Y37H9A.5
D5SGZ9	Y62E10A.11
Q0KHC0	Y62E10A.11
D6VPA9	Y81G3A.2
A5JYR2	ZK675.3
Q7JNR0	AC7.3
Q10904	AH9.1
Q10906	AH9.3
Q10907	AH9.4
Q8WQC3	B0025.4
Q10910	B0034.1
Q10903	B0034.2
Q10912	B0034.4
Q10913	B0034.5
O02060	B0041.1
O02059	B0041.2
Q95R18	B0041.2
Q86GT1	B0041.2
O02055	B0041.3
O02057	B0041.5
O02058	B0041.6
O02058	B0041.6
Q95R19	B0041.8
O16564	B0047.1
Q3V5H9	B0047.1
O16565	B0047.2
O16566	B0047.3
O16567	B0047.4
O61746	B0205.1
Q2MGE6	B0205.1
O61744	B0205.2
Q5F4U1	B0205.2
O61739	B0205.4
O61740	B0205.5
O61741	B0205.6
O61743	B0205.8
O61745	B0205.9
O61747	B0205.10
Q95X39	B0205.11
O01435	B0207.1
O01431	B0207.2
Q9N4B9	B0207.5
O01426	B0207.6
O01429	B0207.7
O01430	B0207.8
O01432	B0207.9
O01433	B0207.10
O01434	B0207.11
O45067	B0212.1
Q5CCI4	B0212.2
O45063	B0212.3
O45064	B0212.4
Q95X47	B0212.4
Q5TKB1	B0212.4
O44655	B0213.10
O44656	B0213.11
O44657	B0213.12
O44658	B0213.14
O44659	B0213.15
Q2MGF1	B0213.15
Q2MGF0	B0213.15
O61204	B0213.16
Q8MNX6	B0213.17
Q17449	B0218.1
Q86MP7	B0218.1
Q17447	B0218.2
Q17448	B0218.5
Q17450	B0218.6
Q17451	B0218.7
Q17452	B0218.8
Q17453	B0222.1
Q17454	B0222.2
Q17455	B0222.3
Q17457	B0222.5
Q960A1	B0222.9
Q8WQH1	B0222.10
Q09220	B0228.1
Q09221	B0228.4
D7SFI9	B0228.4
Q09221	B0228.4
Q09221	B0228.4
Q09433	B0228.5
Q09433	B0228.5
Q09223	B0228.6
Q09438	B0228.7
Q09224	B0228.8
Q09439	B0228.9
O16497	B0238.1
O16494	B0238.3
O16492	B0238.5
O16491	B0238.6
O16490	B0238.7
O16489	B0238.8
O16485	B0238.9
O16486	B0238.10
O16487	B0238.11
O16488	B0238.12
O16496	B0238.13
Q09964	B0244.4
Q10909	B0244.5
Q09965	B0244.6
Q09966	B0244.7
Q09967	B0244.8
Q09968	B0244.9
Q960A0	B0244.10
Q95ZZ9	B0244.11
Q10915	B0252.1
Q10917	B0252.3
Q10917	B0252.3
Q5DX41	B0252.3
Q10918	B0252.5
O01441	B0261.1
Q2L6V2	B0261.4
Q2L6V1	B0261.4
O01439	B0261.5
O01440	B0261.6
Q2L6V0	B0261.6
O01442	B0261.7
Q7Z116	B0261.8
O44170	B0273.1
O44168	B0273.3
P41992	B0280.1
P41992	B0280.1
P41993	B0280.2
P41994	B0280.3
P41996	B0280.5
P41998	B0280.7
P42000	B0280.9
P42001	B0280.10
P42083	B0280.11
Q5WRU4	B0280.13
O16617	B0281.1
O16614	B0281.3
O16611	B0281.4
O16612	B0281.5
A8DZ33	B0281.5
O16613	B0281.6
O16616	B0281.8
Q10921	B0286.1
Q10457	B0286.3
Q9TXP8	B0294.1
Q9TXQ0	B0294.3
Q10926	B0302.2
Q10927	B0302.4
Q10928	B0302.5
P34254	B0303.2
P34255	B0303.3
P34256	B0303.4
P34258	B0303.7
A9Z1J8	B0303.7
P34259	B0303.8
P34260	B0303.9
P34261	B0303.11
P34263	B0303.14
P34264	B0303.15
Q10932	B0304.2
Q27465	B0304.3
Q10933	B0304.4
Q10937	B0310.1
Q10937	B0310.1
Q10938	B0310.2
Q10939	B0310.3
Q10941	B0310.5
Q10942	B0310.6
Q10954	B0336.3
Q17483	B0336.5
Q3Y413	B0336.5
Q10929	B0336.6
Q10930	B0336.7
Q5DX39	B0336.7
Q10956	B0336.11
Q8IG59	B0336.11
Q10957	B0336.12
Q9BIB4	B0336.13
O61959	B0348.1
O61958	B0348.2
O61954	B0348.5
Q17485	B0350.3
Q10958	B0353.1
A8WFH0	B0353.1
Q10946	B0361.2
Q4TTD1	B0361.2
Q7JPQ6	B0361.3
Q10948	B0361.4
Q10949	B0361.5
Q10949	B0361.5
Q10950	B0361.6
Q10944	B0361.7
P53993	B0361.8
Q10952	B0361.9
Q9TXZ9	B0361.10
Q7Z118	B0361.11
Q11077	B0403.3
Q11067	B0403.4
Q6LCP9	B0403.5
Q17501	B0410.1
Q17500	B0410.2
Q95ZZ6	B0410.2
Q95ZZ5	B0410.3
P90984	B0412.3
O01838	B0414.1
O01839	B0414.8
Q6EZH3	B0414.8
Q11069	B0416.1
Q11070	B0416.2
Q11071	B0416.3
Q11072	B0416.4
Q11073	B0416.5
Q95QZ2	B0416.5
Q11074	B0416.7
Q2L6Y1	B0416.7
P90997	B0432.1
P90994	B0432.2
P90993	B0432.3
P90992	B0432.4
P90987	B0432.6
P90988	B0432.7
P90989	B0432.8
Q8WT45	B0432.9
P90991	B0432.10
P90995	B0432.11
P90996	B0432.12
P90990	B0432.13
O17168	B0454.5
O17167	B0454.6
O17166	B0454.7
O17169	B0454.8
O17173	B0454.9
Q17508	B0478.3
Q09437	B0495.2
Q09214	B0495.5
Q09215	B0495.6
Q09216	B0495.7
Q09217	B0495.8
Q8WQG8	B0495.8
Q09218	B0495.9
Q17523	B0496.1
Q17524	B0496.2
Q17519	B0496.5
Q17518	B0496.6
Q17522	B0496.7
Q17525	B0496.8
Q22886	B0507.1
Q22885	B0507.2
Q22884	B0507.3
B1Q247	B0507.3
Q22880	B0507.4
Q22879	B0507.5
Q22878	B0507.6
Q22881	B0507.7
Q22882	B0507.8
Q22883	B0507.9
Q95Q93	B0507.10
O61824	B0511.2
O61822	B0511.3
O61821	B0511.4
O61816	B0511.5
O61815	B0511.6
O61817	B0511.7
A9D8E6	B0511.9
A9D8K5	B0511.9
O61823	B0511.11
O61825	B0511.12
Q95X35	B0511.13
Q95X34	B0511.14
Q86S31	B0511.14
Q9N5Z7	B0524.2
Q9N5Z9	B0524.3
Q9N600	B0524.4
Q9N5Z8	B0524.5
Q9N5Z6	B0524.6
O76663	B0545.3
O76665	B0545.4
O44441	B0546.1
O44438	B0546.2
O44439	B0546.3
O44440	B0546.4
O44440	B0546.4
O44442	B0546.5
P91000	B0547.2
P91008	B0554.1
P91006	B0554.2
P91005	B0554.3
P91004	B0554.4
P91003	B0554.5
P91002	B0554.6
P91007	B0554.7
Q11078	B0563.1
Q11081	B0563.5
Q11082	B0563.6
Q8MQF9	B0563.6
A8WFI5	B0563.6
Q11083	B0563.7
Q11084	B0563.8
Q965N3	BE0003N10.1
Q965N4	BE0003N10.2
Q965N2	BE0003N10.3
Q9UAT6	C01B4.6
Q9UAT5	C01B4.7
Q9UAT4	C01B4.8
Q9UAT3	C01B4.9
Q17548	C01B7.1
Q8MNV9	C01B7.1
C01B7.1c	C01B7.1
Q17546	C01B7.3
Q17550	C01B7.5
Q17552	C01B7.7
Q17543	C01B10.3
Q17541	C01B10.4
Q17537	C01B10.6
Q8MQF7	C01B10.6
Q17538	C01B10.7
Q17539	C01B10.8
Q17540	C01B10.9
Q17542	C01B10.10
O17208	C01B12.2
O17206	C01B12.3
O17204	C01B12.4
O17205	C01B12.5
O17210	C01B12.8
Q11089	C01C4.2
Q11090	C01C4.3
Q11090	C01C4.3
Q11086	C01C10.2
Q6AHQ9	C01C10.2
Q11087	C01C10.3
Q17558	C01F1.1
Q17557	C01F1.2
Q17556	C01F1.3
Q2L6W1	C01F1.3
Q17553	C01F1.4
Q17554	C01F1.5
Q17555	C01F1.6
O01443	C01F4.2
Q86ND2	C01F4.2
Q17565	C01G5.3
Q17566	C01G5.4
Q17568	C01G5.5
Q17569	C01G5.6
Q17570	C01G5.7
P90740	C01G5.8
Q9TXQ7	C01G5.9
P91011	C01G8.1
A9Z1L5	C01G8.1
P91017	C01G8.6
Q5F4V7	C02A12.2
Q5F4V6	C02A12.3
Q5F4V5	C02A12.5
Q5F4V0	C02A12.6
Q11091	C02B8.1
Q11092	C02B8.2
Q11093	C02B8.3
Q11095	C02B8.5
Q11096	C02B8.6
Q11097	C02B8.7
O44446	C02B10.1
O44445	C02B10.2
O44443	C02B10.3
O44444	C02B10.4
O44447	C02B10.5
O44448	C02B10.6
P34269	C02C2.1
P34272	C02C2.4
P34273	C02C2.5
P34275	C02D5.1
P34276	C02D5.2
P34276	C02D5.2
P34277	C02D5.3
O16436	C02E7.1
O16428	C02E7.6
O16427	C02E7.7
O16429	C02E7.8
O16435	C02E7.10
Q9UAN9	C02E11.1
Q8ITW0	C02E11.1
P34279	C02F5.2
P34280	C02F5.3
P34281	C02F5.4
P34282	C02F5.5
P34283	C02F5.6
P34283	C02F5.6
P34284	C02F5.7
P34284	C02F5.7
P34287	C02F5.10
Q95QY7	C02F5.12
P61228	C02F5.13
Q11099	C02F12.3
A3FPJ1	C02F12.5
Q11102	C02F12.7
Q11103	C02F12.8
Q95ZZ4	C02F12.9
Q17592	C02G6.1
Q17593	C02G6.2
O17053	C02H6.1
O17054	C02H6.2
Q17594	C02H7.2
O16508	C03A7.2
O16504	C03A7.9
O16505	C03A7.10
O16506	C03A7.11
O16507	C03A7.12
O16510	C03A7.13
Q11108	C03B1.1
Q11109	C03B1.2
Q11110	C03B1.3
Q11111	C03B1.4
Q11112	C03B1.5
Q11113	C03B1.6
Q11113	C03B1.6
Q11114	C03B1.7
Q11115	C03B1.9
Q11116	C03B1.10
Q95QY6	C03B1.13
Q95QY5	C03B1.14
Q11105	C03B8.2
Q11106	C03B8.3
Q11122	C03F11.1
Q11123	C03F11.2
Q11124	C03F11.3
Q11125	C03F11.4
Q09508	C03G5.1
Q8WQG6	C03G5.2
O01454	C03G6.5
O01453	C03G6.6
O01448	C03G6.8
O01446	C03G6.10
O01449	C03G6.12
O01452	C03G6.13
O02627	C03G6.14
O02628	C03G6.15
O01459	C03G6.16
O01460	C03G6.17
O16660	C03H5.1
O16658	C03H5.2
O16657	C03H5.3
O16654	C03H5.4
O16656	C03H5.5
O16659	C03H5.6
O16655	C03H5.7
Q09445	C04A2.1
O44454	C04C3.1
O44452	C04C3.2
O44451	C04C3.3
O44449	C04C3.4
O44453	C04C3.6
O44455	C04C3.7
P34288	C04D8.1
P34288	C04D8.1
O01473	C04E6.2
O01472	C04E6.3
O01469	C04E6.4
O01467	C04E6.5
O01464	C04E6.7
O01463	C04E6.8
O01470	C04E6.11
Q8IFY6	C04E6.13
Q11192	C04E7.1
Q11193	C04E7.2
Q11194	C04E7.3
Q8MQF0	C04E7.4
O76679	C04E12.2
O76677	C04E12.4
O76676	C04E12.5
O76674	C04E12.6
O76675	C04E12.7
O76681	C04E12.9
O76682	C04E12.10
O76684	C04E12.11
O76685	C04E12.12
O61738	C04F1.1
Q9GZD6	C04F5.2
Q9GZD4	C04F5.4
Q7KNQ6	C04F5.5
Q9GZD2	C04F5.6
Q9GZD1	C04F5.7
Q9GZD0	C04F5.8
Q9GZC9	C04F5.9
Q11175	C04F6.2
A9Z1L3	C04G6.2
Q17636	C04G6.4
Q17638	C04G6.5
Q17640	C04G6.6
Q17641	C04G6.7
Q95QY1	C04G6.10
Q95QY0	C04G6.11
O16314	C05C8.1
A6PVA5	C05C8.1
O16311	C05C8.2
O16312	C05C8.5
O16313	C05C8.6
O16315	C05C8.7
O16316	C05C8.8
Q95X94	C05C8.9
Q95X93	C05C8.9
O45138	C05D2.3
O45133	C05D2.6
Q400L8	C05D2.6
O45136	C05D2.8
Q95X41	C05D2.10
Q95X42	C05D2.10
Q9GYK0	C05D9.2
Q9GYK2	C05D9.3
Q9GYK3	C05D9.4
Q9GYK1	C05D9.7
Q95ZM9	C05D9.9
Q2V4S4	C05D9.9
Q11178	C05D10.1
Q8T3F6	C05D10.1
Q5TYM0	C05D10.1
Q11179	C05D10.2
Q8T3F7	C05D10.2
Q8T3F8	C05D10.2
Q11180	C05D10.3
Q11181	C05D10.4
Q11181	C05D10.4
Q11181	C05D10.4
P48053	C05D11.1
Q11185	C05D11.5
Q11186	C05D11.7
Q8T3F2	C05D11.7
Q11187	C05D11.8
Q11188	C05D11.9
Q11189	C05D11.10
Q11191	C05D11.13
O17357	C05E4.7
O17364	C05E4.12
Q17667	C05E11.1
Q17666	C05E11.2
Q17664	C05E11.3
Q17662	C05E11.6
Q17665	C05E11.7
Q65CM0	C05G6.1
O01483	C06A5.1
O01480	C06A5.2
Q5TYK6	C06A5.3
Q5TYK5	C06A5.3
O01474	C06A5.4
O01475	C06A5.5
O01477	C06A5.6
O01481	C06A5.8
Q86ND0	C06A5.8
O01476	C06A5.10
Q8MQE8	C06A6.2
Q8MQE9	C06A6.2
Q17687	C06A6.3
Q17686	C06A6.4
Q5WRS4	C06A6.4
Q17688	C06A6.5
Q7JP64	C06A6.7
Q17693	C06A8.1
Q8MQE7	C06A8.1
Q17694	C06A8.2
Q17698	C06A8.3
Q17695	C06A8.5
Q17692	C06A8.6
Q17691	C06A8.8
Q8IG54	C06A8.8
P34296	C06E1.1
P34298	C06E1.3
P34300	C06E1.5
P34301	C06E1.6
P34302	C06E1.7
P34303	C06E1.8
P34304	C06E1.9
P34305	C06E1.10
P34306	C06E1.11
Q17721	C06E2.1
Q17722	C06E2.2
Q17719	C06E2.5
Q17729	C06E4.1
Q17728	C06E4.2
Q17726	C06E4.3
Q17725	C06E4.4
Q17723	C06E4.5
Q17724	C06E4.6
Q17727	C06E4.7
Q17730	C06E4.8
P50305	C06E7.1
Q95QX7	C06E7.1
Q8I7M9	C06E7.1
Q86NI3	C06E7.1
Q17731	C06E7.2
P50306	C06E7.3
Q86NI4	C06E7.3
Q17732	C06E7.4
Q17738	C06E8.5
Q17743	C06G1.1
A8WFJ7	C06G1.1
Q17742	C06G1.2
Q17740	C06G1.4
Q17744	C06G1.5
Q17751	C06G3.3
Q17748	C06G3.4
Q17747	C06G3.5
Q86NI2	C06G3.5
Q17746	C06G3.6
Q17745	C06G3.7
Q17749	C06G3.8
Q17750	C06G3.9
P34307	C06G4.1
P34310	C06G4.4
P34311	C06G4.5
Q17772	C07A12.2
Q95QX5	C07A12.7
Q95QX4	C07A12.7
Q86GT7	C07A12.7
P91021	C07D8.5
P91020	C07D8.6
Q17783	C07D10.1
Q17782	C07D10.2
Q95QX2	C07D10.2
Q17781	C07D10.3
Q17780	C07D10.5
Q9N5Z4	C07F11.2
Q17797	C07G1.2
Q17798	C07G1.6
Q17799	C07G1.7
O16327	C07G3.2
O16321	C07G3.8
O16322	C07G3.9
Q965N0	C07G3.10
Q95YE7	C07H6.2
Q95YF0	C07H6.3
Q95YF1	C07H6.4
Q95YF2	C07H6.9
D1MN44	C08A9.3
D1MN45	C08A9.3
Q17809	C08A9.6
Q17810	C08A9.7
Q17811	C08A9.8
Q17812	C08A9.9
P34324	C08C3.2
P34325	C08C3.4
P34325	C08C3.4
Q17824	C08D8.1
O18654	C08E3.1
O17197	C08E3.2
O17193	C08E3.3
O17194	C08E3.4
O17195	C08E3.5
O17196	C08E3.6
O17198	C08E3.7
O17199	C08E3.8
O17200	C08E3.9
O17202	C08E3.11
O17203	C08E3.12
O18654	C08E3.13
O17179	C08F1.1
O17178	C08F1.3
O17175	C08F1.4
Q8MXJ3	C08F1.4
O17176	C08F1.5
Q2V074	C08F1.5
O17177	C08F1.6
O17181	C08F1.8
Q8MXJ2	C08F1.10
Q9TZL6	C08G5.1
Q9TZL5	C08G5.2
Q9TZL4	C08G5.3
Q9TZL2	C08G5.5
Q9TZL1	C08G5.6
Q8MXJ0	C08G9.1
O44131	C08G9.2
Q22894	C09B7.2
Q17845	C09B8.3
Q17846	C09B8.4
Q17847	C09B8.5
Q8WQG3	C09B8.8
Q17854	C09B9.1
Q17852	C09B9.2
Q17851	C09B9.3
D0VWM1	C09B9.3
Q17853	C09B9.4
P90742	C09B9.7
O01735	C09D4.1
O01735	C09D4.1
O01734	C09D4.2
O01733	C09D4.3
O01731	C09D4.4
Q960A4	C09D4.4
Q960A5	C09D4.4
O01732	C09D4.6
Q95YE4	C09E7.1
Q9N5Z0	C09E7.4
Q9N5Y9	C09E7.5
Q9N5Y8	C09E7.6
Q9N5Y7	C09E7.7
Q8IAB9	C09E7.8
Q8IAB8	C09E7.8
Q95YE3	C09E7.9
Q9TZQ4	C09E8.1
Q8ITX0	C09E8.1
O76556	C09E8.2
Q8ITX1	C09E8.2
O76555	C09E8.3
Q09231	C09F5.1
B6VQ32	C09F5.2
B6VQ31	C09F5.2
Q09452	C09F5.3
Q8MQE3	C09G4.2
Q8MQE2	C09G4.2
Q8MQE4	C09G4.2
Q8I7M6	C09G4.2
O44462	C09G12.1
O44460	C09G12.2
O44459	C09G12.3
O44457	C09G12.5
Q688B9	C09G12.6
O76258	C09G12.9
O16333	C09H5.1
O16331	C09H5.2
Q8IA86	C09H5.2
O16334	C09H5.7
Q17894	C10A4.1
Q17892	C10A4.2
Q17891	C10A4.3
Q17890	C10A4.4
Q17889	C10A4.5
Q17888	C10A4.6
Q17893	C10A4.7
O16318	C10B5.1
O16319	C10B5.3
O17327	C10E2.1
O17324	C10E2.2
O17325	C10E2.4
O17326	C10E2.5
O17328	C10E2.6
O16883	C10F3.1
O16879	C10F3.4
Q5ZR76	C10F3.4
Q8IA79	C10F3.7
Q17902	C10G6.1
Q65ZH5	C10G6.1
Q94164	C10G8.2
Q94163	C10G8.3
Q94162	C10G8.4
Q94167	C10G8.8
Q8I7I6	C10G8.8
P91034	C10G11.1
P91028	C10G11.6
P91027	C10G11.7
P91025	C10G11.8
P91026	C10G11.9
P91033	C10G11.10
P91041	C10H11.1
P91039	C10H11.3
P91038	C10H11.4
P91037	C10H11.5
P91036	C10H11.6
B1Q250	C10H11.6
P91035	C10H11.7
P91040	C10H11.8
P91042	C10H11.10
O45073	C11D2.1
O45072	C11D2.2
O45068	C11D2.3
O45069	C11D2.4
Q8MXH7	C11D2.7
O01847	C11D9.1
Q17929	C12D5.2
Q17927	C12D5.3
Q17925	C12D5.4
Q17924	C12D5.5
Q27470	C12D5.7
Q17930	C12D5.9
Q17932	C12D5.10
Q8I7M5	C12D5.11
Q17921	C12D12.1
Q95QX0	C12D12.1
A7LPD3	C12D12.1
Q17919	C12D12.3
Q17918	C12D12.4
Q17922	C12D12.5
O16878	C13A2.1
O16877	C13A2.2
O16876	C13A2.3
O16874	C13A2.4
O16873	C13A2.5
O16871	C13A2.6
O16870	C13A2.7
C4IWZ6	C13A2.7
O16869	C13A2.9
O16872	C13A2.10
O16875	C13A2.11
P91044	C13A10.1
P91043	C13A10.2
Q9UAU9	C13B7.1
Q95X12	C13B7.6
Q09235	C13B9.2
Q09236	C13B9.3
Q09460	C13B9.4
Q6W3C3	C13B9.4
Q6W3C2	C13B9.4
O16238	C13D9.4
O16239	C13D9.5
O16240	C13D9.6
O16243	C13D9.9
Q8WQC2	C13E3.1
Q95Q86	C13F10.1
Q95Q87	C13F10.1
O01488	C13F10.2
O01485	C13F10.4
O01486	C13F10.5
O01487	C13F10.6
O01489	C13F10.7
P34327	C13G5.2
O02135	C14A11.2
O02136	C14A11.5
A8WFN8	C14A11.6
P34329	C14B9.2
P34330	C14B9.3
P34335	C14B9.8
Q8MNV8	C14B9.10
O44675	C14C6.2
O44669	C14C6.3
O44668	C14C6.4
O44667	C14C6.5
O44670	C14C6.6
O44671	C14C6.7
O44672	C14C6.8
O44678	C14C6.12
O44679	C14C6.13
Q17980	C14C11.1
Q17979	C14C11.2
Q17977	C14C11.3
Q17976	C14C11.4
Q17981	C14C11.7
Q17987	C14E2.1
Q17983	C14E2.2
Q17984	C14E2.3
Q17985	C14E2.4
Q17986	C14E2.5
Q17988	C14E2.6
Q09969	C14F5.1
Q09969	C14F5.1
Q09972	C14F5.4
Q17994	C14F11.1
Q8MQD9	C14F11.1
Q17989	C14F11.2
B3WFT8	C14F11.4
B3WFT7	C14F11.4
Q17993	C14F11.6
Q95QW8	C14F11.7
Q18006	C15B12.1
Q18003	C15B12.2
Q18004	C15B12.3
Q18005	C15B12.4
Q18008	C15B12.6
Q8WSW2	C15B12.8
P83528	C15C7.1
Q18010	C15C7.4
Q18012	C15C7.5
Q18015	C15C7.6
Q18014	C15C7.7
Q9N5X8	C15F1.1
Q9N5X9	C15F1.2
Q9N5Y3	C15F1.5
Q2MGS5	C15F1.5
Q9N5Y0	C15F1.8
Q18030	C15H9.2
Q18029	C15H9.3
Q18025	C15H9.4
Q18024	C15H9.5
Q18026	C15H9.7
Q18032	C15H9.9
Q95QW3	C15H9.11
Q8MNV7	C16A3.1
Q8MNV7	C16A3.1
Q8MNV7	C16A3.1
Q9TY00	C16A3.2
Q18037	C16A3.4
Q18036	C16A3.5
Q18035	C16A3.6
Q18033	C16A3.8
Q18040	C16A3.10
Q8MNV6	C16A3.10
Q5TYL8	C16A3.10
Q6A579	C16A11.2
Q6A578	C16A11.2
C0Z1Y4	C16A11.3
O76580	C16A11.4
A7DT46	C16A11.4
O76579	C16A11.5
A3KFE6	C16A11.6
O76585	C16A11.7
O76586	C16A11.8
Q18042	C16B8.2
Q18043	C16B8.3
Q18044	C16B8.4
O44325	C16C4.1
O16555	C16C4.3
O16552	C16C4.4
O16551	C16C4.5
O16550	C16C4.6
O16556	C16C4.8
O16557	C16C4.9
O16558	C16C4.10
O16559	C16C4.11
O16560	C16C4.12
O16561	C16C4.13
O16562	C16C4.14
O16553	C16C4.15
O16554	C16C4.16
P91060	C16C8.2
P91057	C16C8.4
P91056	C16C8.5
P91049	C16C8.7
P91048	C16C8.8
P91047	C16C8.9
P91046	C16C8.10
P91050	C16C8.11
P91051	C16C8.12
P91052	C16C8.13
P91053	C16C8.14
P91055	C16C8.16
P91058	C16C8.17
P91061	C16C8.18
Q95ZM7	C16C8.19
Q22902	C16D9.1
Q22897	C16D9.3
Q22898	C16D9.4
Q22899	C16D9.5
Q22900	C16D9.6
Q22901	C16D9.7
Q22903	C16D9.8
Q95Q85	C16D9.9
Q18048	C16E9.1
Q18046	C16E9.2
Q7JP90	C16E9.2
Q94172	C16H3.1
Q94170	C16H3.3
Q86MD9	C16H3.3
O16538	C17A2.1
O16536	C17A2.2
O16535	C17A2.3
O16533	C17A2.4
O16531	C17A2.5
O16534	C17A2.7
O45160	C17B7.2
O45158	C17B7.3
O45156	C17B7.4
O45155	C17B7.5
D1YSH6	C17B7.8
D1YSH5	C17B7.8
O45153	C17B7.9
O45157	C17B7.10
O45159	C17B7.11
Q9TXS4	C17B7.12
Q9BIA9	C17C3.1
Q9BIA5	C17C3.1
Q9BIA7	C17C3.1
Q9BIA8	C17C3.1
B0M0L9	C17C3.1
Q27220	C17C3.2
Q18061	C17C3.3
Q18059	C17C3.5
Q18058	C17C3.6
Q18052	C17C3.9
Q18055	C17C3.11
Q18057	C17C3.12
Q9BIB0	C17C3.12
Q95QW2	C17C3.12
Q27220	C17C3.13
Q9BIA6	C17C3.15
O16398	C17E7.1
O16394	C17E7.3
O16393	C17E7.4
O16388	C17E7.5
O16389	C17E7.6
O16390	C17E7.7
Q965M7	C17E7.9
Q965M8	C17E7.9
O16395	C17E7.10
Q965M6	C17E7.12
Q965M9	C17E7.13
O44946	C17F3.1
O44948	C17F3.3
O16543	C17F4.1
O16542	C17F4.2
O16540	C17F4.3
O16541	C17F4.5
Q9BKP8	C17F4.7
Q965M5	C17F4.8
Q09973	C17G10.1
Q09974	C17G10.2
Q95QW1	C17G10.3
Q7JPE7	C17G10.6
Q7JPE6	C17G10.6
Q09978	C17G10.7
Q95QW0	C17G10.9
Q95QW0	C17G10.9
P91064	C17H11.1
P91063	C17H11.2
P91065	C17H11.4
P91066	C17H11.5
Q95Q83	C17H11.6
Q95Q84	C17H11.6
Q86ME0	C17H11.6
B1Q249	C17H11.6
O45087	C17H12.1
O45086	C17H12.2
O45085	C17H12.3
O45083	C17H12.4
O45079	C17H12.5
O45077	C17H12.6
O45078	C17H12.8
O45080	C17H12.9
O45081	C17H12.10
O45082	C17H12.11
O45084	C17H12.12
Q09956	C18A3.1
Q09957	C18A3.2
Q09958	C18A3.3
Q18071	C18A3.4
Q18071	C18A3.4
Q18071	C18A3.4
Q95QV8	C18A3.5
Q95QV7	C18A3.5
Q95QV6	C18A3.5
Q8IG50	C18A3.5
Q8IG49	C18A3.5
Q09960	C18A3.7
Q95QV4	C18A3.9
Q8MQD3	C18A3.10
Q18070	C18A11.1
Q18069	C18A11.2
Q18068	C18A11.3
Q18065	C18A11.4
Q18063	C18A11.6
Q18079	C18B2.1
Q18078	C18B2.2
Q18074	C18B2.3
Q18075	C18B2.4
Q18076	C18B2.5
Q8MQD2	C18B2.5
Q18077	C18B2.6
P91077	C18B10.1
P91076	C18B10.2
P91075	C18B10.3
Q5DX29	C18B10.4
Q5DX30	C18B10.5
P91071	C18B10.6
Q18083	C18C4.1
A3RMS5	C18C4.1
Q18081	C18C4.3
Q8MNV5	C18C4.5
Q8MNV4	C18C4.5
B1Q242	C18C4.7
Q18086	C18C4.9
O02102	C18E3.1
O02101	C18E3.2
O02099	C18E3.3
O02098	C18E3.4
O02097	C18E3.5
O02096	C18E3.6
O02103	C18E3.9
A5A8Q5	C18E3.9
Q18098	C18F10.2
Q18099	C18F10.7
Q8MNV2	C18F10.7
Q8MNV3	C18F10.9
O61925	C18G1.1
O61924	C18G1.2
A6PVB2	C18G1.2
D1YSH9	C18G1.3
D1YSH8	C18G1.3
D6VP98	C18G1.3
O61919	C18G1.6
